주문ID,주문일,채널,상품ID,상품명,시리즈,카테고리,수량,단가,할인액,판매가,주문금액,수수료율,수수료,원가합계,영업이익,주문상태,유입경로
ORD-2602-0472,2026-02-01,핫트랙스,PRD-022,2026 벽걸이 캘린더,오롤리데이,캘린더,1,18000,0,18000,18000,0.25,4500,5800,7700,완료,핫트랙스
ORD-2601-0473,2026-01-26,네이버,PRD-025,2026 다이어리 - 세이지,오롤리데이,다이어리,1,22000,0,22000,22000,0.12,2640,7500,11860,완료,쇼핑라이브
ORD-2601-0474,2026-01-05,자사몰,PRD-015,폰케이스 - 패턴,MNNS,폰케이스,3,24000,2400,21600,64800,0.035,2268,24000,38532,반품,직접유입
ORD-2601-0475,2026-01-17,자사몰,PRD-001,미니 파우치 - 레몬,Happier Label,파우치,1,12000,0,12000,12000,0.035,420,4200,7380,완료,블로그검색
ORD-2602-0476,2026-02-09,텐바이텐,PRD-021,스티커 세트 - 시즌,PART PART,스티커,1,5000,0,5000,5000,0.18,900,1200,2900,완료,텐바이텐
ORD-2601-0477,2026-01-18,29CM,PRD-019,먼슬리 플래너,PART PART,플래너,1,16000,0,16000,16000,0.2,3200,5200,7600,완료,29CM
ORD-2603-0478,2026-03-13,29CM,PRD-028,실내화 - 크림,오롤리데이,슬리퍼,1,19000,2850,16150,16150,0.2,3230,7200,5720,완료,29CM
ORD-2603-0479,2026-03-26,네이버,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,2,14000,0,14000,28000,0.12,3360,8400,16240,완료,추천
ORD-2603-0480,2026-03-16,핫트랙스,PRD-022,2026 벽걸이 캘린더,오롤리데이,캘린더,1,18000,0,18000,18000,0.25,4500,5800,7700,완료,핫트랙스
ORD-2602-0481,2026-02-13,카카오선물하기,PRD-033,기프트박스 B (노트+스티커+펜),오롤리데이,기프트세트,1,22000,0,22000,22000,0.3,6600,7200,8200,완료,카카오선물하기
ORD-2601-0482,2026-01-16,네이버,PRD-007,접이식 우산,Happier Label,우산,3,28000,0,28000,84000,0.12,10080,33000,40920,완료,추천
ORD-2602-0483,2026-02-23,자사몰,PRD-011,마우스패드 - 그리드,MNNS,데스크소품,2,15000,0,15000,30000,0.035,1050,9600,19350,완료,인스타그램
ORD-2601-0484,2026-01-22,네이버,PRD-019,먼슬리 플래너,PART PART,플래너,1,16000,0,16000,16000,0.12,1920,5200,8880,취소,추천
ORD-2603-0485,2026-03-18,자사몰,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,1,14000,0,14000,14000,0.035,490,4200,9310,완료,인스타그램
ORD-2601-0486,2026-01-17,자사몰,PRD-005,에코백 - 올리브,Happier Label,가방,1,25000,0,25000,25000,0.035,875,8500,15625,완료,직접유입
ORD-2603-0487,2026-03-09,29CM,PRD-016,데일리 노트 A5,PART PART,노트,1,9000,0,9000,9000,0.2,1800,2700,4500,완료,29CM
ORD-2602-0488,2026-02-19,텐바이텐,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,1,14000,0,14000,14000,0.18,2520,4200,7280,완료,텐바이텐
ORD-2602-0489,2026-02-08,29CM,PRD-017,데일리 노트 B5,PART PART,노트,4,11000,0,11000,44000,0.2,8800,13200,22000,취소,29CM
ORD-2603-0490,2026-03-08,자사몰,PRD-026,코튼 러그 - S,오롤리데이,러그,2,38000,0,38000,76000,0.035,2660,30000,43340,완료,카카오채널
ORD-2601-0491,2026-01-24,29CM,PRD-009,레터 키링 - A~Z,MNNS,키링,1,8000,1200,6800,6800,0.2,1360,2400,3040,완료,29CM
ORD-2603-0492,2026-03-27,카카오선물하기,PRD-003,스퀘어 파우치 - 크림,Happier Label,파우치,2,18000,0,18000,36000,0.3,10800,12600,12600,완료,카카오선물하기
ORD-2602-0493,2026-02-01,29CM,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,4,14000,0,14000,56000,0.2,11200,16800,28000,완료,29CM
ORD-2603-0494,2026-03-19,텐바이텐,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,1,14000,0,14000,14000,0.18,2520,4200,7280,완료,텐바이텐
ORD-2602-0495,2026-02-05,자사몰,PRD-028,실내화 - 크림,오롤리데이,슬리퍼,1,19000,0,19000,19000,0.035,665,7200,11135,완료,인스타그램
ORD-2603-0496,2026-03-23,네이버,PRD-011,마우스패드 - 그리드,MNNS,데스크소품,2,15000,0,15000,30000,0.12,3600,9600,16800,취소,네이버검색
ORD-2602-0497,2026-02-11,네이버,PRD-028,실내화 - 크림,오롤리데이,슬리퍼,1,19000,0,19000,19000,0.12,2280,7200,9520,완료,쇼핑라이브
ORD-2601-0498,2026-01-16,네이버,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,2,22000,0,22000,44000,0.12,5280,14400,24320,완료,네이버검색
ORD-2601-0499,2026-01-19,29CM,PRD-004,에코백 - 내추럴,Happier Label,가방,2,25000,0,25000,50000,0.2,10000,17000,23000,완료,29CM
ORD-2603-0500,2026-03-24,자사몰,PRD-001,미니 파우치 - 레몬,Happier Label,파우치,1,12000,0,12000,12000,0.035,420,4200,7380,완료,직접유입
ORD-2601-0501,2026-01-18,텐바이텐,PRD-002,미니 파우치 - 라벤더,Happier Label,파우치,1,12000,0,12000,12000,0.18,2160,4200,5640,완료,텐바이텐
ORD-2602-0502,2026-02-21,자사몰,PRD-022,2026 벽걸이 캘린더,오롤리데이,캘린더,1,18000,0,18000,18000,0.035,630,5800,11570,완료,블로그검색
ORD-2601-0503,2026-01-19,카카오선물하기,PRD-033,기프트박스 B (노트+스티커+펜),오롤리데이,기프트세트,1,22000,0,22000,22000,0.3,6600,7200,8200,완료,카카오선물하기
ORD-2602-0504,2026-02-24,네이버,PRD-003,스퀘어 파우치 - 크림,Happier Label,파우치,1,18000,0,18000,18000,0.12,2160,6300,9540,완료,네이버검색
ORD-2603-0505,2026-03-11,네이버,PRD-020,스티커 세트 - 데일리,PART PART,스티커,1,5000,0,5000,5000,0.12,600,1200,3200,완료,네이버검색
ORD-2601-0506,2026-01-10,29CM,PRD-025,2026 다이어리 - 세이지,오롤리데이,다이어리,1,22000,2200,19800,19800,0.2,3960,7500,8340,완료,29CM
ORD-2602-0507,2026-02-15,네이버,PRD-006,티슈커버 - 화이트,Happier Label,리빙소품,3,15000,0,15000,45000,0.12,5400,15600,24000,완료,추천
ORD-2602-0508,2026-02-07,자사몰,PRD-007,접이식 우산,Happier Label,우산,1,28000,0,28000,28000,0.035,980,11000,16020,완료,직접유입
ORD-2603-0509,2026-03-04,자사몰,PRD-010,마우스패드 - 클라우드,MNNS,데스크소품,1,15000,0,15000,15000,0.035,525,4800,9675,완료,인스타그램
ORD-2602-0510,2026-02-06,자사몰,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,3,14000,0,14000,42000,0.035,1470,12600,27930,완료,인스타그램
ORD-2602-0511,2026-02-23,카카오선물하기,PRD-032,기프트박스 A (파우치+키링),오롤리데이,기프트세트,1,18000,0,18000,18000,0.3,5400,6000,6600,완료,카카오선물하기
ORD-2602-0512,2026-02-10,핫트랙스,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,1,14000,0,14000,14000,0.25,3500,4200,6300,완료,핫트랙스
ORD-2601-0513,2026-01-10,자사몰,PRD-035,해피어마트 한정 에코백,해피어마트,가방,2,29000,0,29000,58000,0.035,2030,21000,34970,교환,기타
ORD-2603-0514,2026-03-16,자사몰,PRD-028,실내화 - 크림,오롤리데이,슬리퍼,2,19000,0,19000,38000,0.035,1330,14400,22270,완료,인스타그램
ORD-2601-0515,2026-01-23,29CM,PRD-016,데일리 노트 A5,PART PART,노트,2,9000,450,8550,17100,0.2,3420,5400,8280,완료,29CM
ORD-2603-0516,2026-03-26,29CM,PRD-011,마우스패드 - 그리드,MNNS,데스크소품,1,15000,0,15000,15000,0.2,3000,4800,7200,완료,29CM
ORD-2601-0517,2026-01-10,자사몰,PRD-030,x 제주맥주 코스터 세트,콜라보,콜라보,1,12000,0,12000,12000,0.035,420,4800,6780,교환,인스타그램
ORD-2602-0518,2026-02-06,쇼피파이,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.05,1100,7200,13700,완료,쇼피파이
ORD-2601-0519,2026-01-16,자사몰,PRD-027,코튼 러그 - M,오롤리데이,러그,1,52000,0,52000,52000,0.035,1820,21000,29180,완료,인스타그램
ORD-2603-0520,2026-03-05,자사몰,PRD-026,코튼 러그 - S,오롤리데이,러그,1,38000,0,38000,38000,0.035,1330,15000,21670,완료,인스타그램
ORD-2602-0521,2026-02-08,네이버,PRD-015,폰케이스 - 패턴,MNNS,폰케이스,1,24000,0,24000,24000,0.12,2880,8000,13120,완료,네이버검색
ORD-2602-0522,2026-02-07,카카오선물하기,PRD-008,레터링 머그컵,Happier Label,리빙소품,4,16000,0,16000,64000,0.3,19200,22400,22400,완료,카카오선물하기
ORD-2602-0523,2026-02-04,자사몰,PRD-020,스티커 세트 - 데일리,PART PART,스티커,1,5000,0,5000,5000,0.035,175,1200,3625,완료,직접유입
ORD-2601-0524,2026-01-06,29CM,PRD-024,2026 다이어리 - 크림,오롤리데이,다이어리,1,22000,0,22000,22000,0.2,4400,7500,10100,취소,29CM
ORD-2601-0525,2026-01-26,29CM,PRD-025,2026 다이어리 - 세이지,오롤리데이,다이어리,1,22000,0,22000,22000,0.2,4400,7500,10100,완료,29CM
ORD-2601-0526,2026-01-25,카카오선물하기,PRD-001,미니 파우치 - 레몬,Happier Label,파우치,1,12000,0,12000,12000,0.3,3600,4200,4200,완료,카카오선물하기
ORD-2602-0527,2026-02-11,쇼피파이,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,2,22000,0,22000,44000,0.05,2200,14400,27400,완료,쇼피파이
ORD-2601-0528,2026-01-05,자사몰,PRD-003,스퀘어 파우치 - 크림,Happier Label,파우치,1,18000,0,18000,18000,0.035,630,6300,11070,완료,인스타그램
ORD-2601-0529,2026-01-24,네이버,PRD-028,실내화 - 크림,오롤리데이,슬리퍼,2,19000,0,19000,38000,0.12,4560,14400,19040,완료,네이버검색
ORD-2601-0530,2026-01-09,카카오선물하기,PRD-032,기프트박스 A (파우치+키링),오롤리데이,기프트세트,1,18000,0,18000,18000,0.3,5400,6000,6600,완료,카카오선물하기
ORD-2601-0531,2026-01-28,네이버,PRD-020,스티커 세트 - 데일리,PART PART,스티커,1,5000,0,5000,5000,0.12,600,1200,3200,완료,네이버검색
ORD-2602-0532,2026-02-16,29CM,PRD-005,에코백 - 올리브,Happier Label,가방,1,25000,0,25000,25000,0.2,5000,8500,11500,완료,29CM
ORD-2601-0533,2026-01-02,자사몰,PRD-033,기프트박스 B (노트+스티커+펜),오롤리데이,기프트세트,1,22000,2200,19800,19800,0.035,693,7200,11907,완료,인스타그램
ORD-2601-0534,2026-01-20,29CM,PRD-001,미니 파우치 - 레몬,Happier Label,파우치,4,12000,1200,10800,43200,0.2,8640,16800,17760,완료,29CM
ORD-2602-0535,2026-02-12,카카오선물하기,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,2,14000,0,14000,28000,0.3,8400,8400,11200,완료,카카오선물하기
ORD-2602-0536,2026-02-24,자사몰,PRD-020,스티커 세트 - 데일리,PART PART,스티커,1,5000,0,5000,5000,0.035,175,1200,3625,완료,블로그검색
ORD-2601-0537,2026-01-22,자사몰,PRD-012,보조배터리 5000mAh,MNNS,전자소품,1,32000,0,32000,32000,0.035,1120,14500,16380,완료,직접유입
ORD-2602-0538,2026-02-14,텐바이텐,PRD-009,레터 키링 - A~Z,MNNS,키링,2,8000,0,8000,16000,0.18,2880,4800,8320,완료,텐바이텐
ORD-2602-0539,2026-02-20,카카오선물하기,PRD-009,레터 키링 - A~Z,MNNS,키링,3,8000,0,8000,24000,0.3,7200,7200,9600,완료,카카오선물하기
ORD-2601-0540,2026-01-21,네이버,PRD-024,2026 다이어리 - 크림,오롤리데이,다이어리,1,22000,0,22000,22000,0.12,2640,7500,11860,완료,쇼핑라이브
ORD-2602-0541,2026-02-13,자사몰,PRD-003,스퀘어 파우치 - 크림,Happier Label,파우치,5,18000,0,18000,90000,0.035,3150,31500,55350,완료,인스타그램
ORD-2601-0542,2026-01-28,네이버,PRD-025,2026 다이어리 - 세이지,오롤리데이,다이어리,2,22000,0,22000,44000,0.12,5280,15000,23720,완료,쇼핑라이브
ORD-2603-0543,2026-03-05,자사몰,PRD-030,x 제주맥주 코스터 세트,콜라보,콜라보,1,12000,1200,10800,10800,0.035,378,4800,5622,완료,블로그검색
ORD-2602-0544,2026-02-07,카카오선물하기,PRD-009,레터 키링 - A~Z,MNNS,키링,2,8000,0,8000,16000,0.3,4800,4800,6400,완료,카카오선물하기
ORD-2602-0545,2026-02-04,카카오선물하기,PRD-008,레터링 머그컵,Happier Label,리빙소품,1,16000,0,16000,16000,0.3,4800,5600,5600,완료,카카오선물하기
ORD-2603-0546,2026-03-11,네이버,PRD-027,코튼 러그 - M,오롤리데이,러그,1,52000,0,52000,52000,0.12,6240,21000,24760,완료,추천
ORD-2603-0547,2026-03-01,카카오선물하기,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,1,14000,0,14000,14000,0.3,4200,4200,5600,완료,카카오선물하기
ORD-2601-0548,2026-01-23,자사몰,PRD-004,에코백 - 내추럴,Happier Label,가방,2,25000,0,25000,50000,0.035,1750,17000,31250,완료,인스타그램
ORD-2602-0549,2026-02-26,네이버,PRD-005,에코백 - 올리브,Happier Label,가방,1,25000,0,25000,25000,0.12,3000,8500,13500,완료,네이버검색
ORD-2601-0550,2026-01-14,29CM,PRD-005,에코백 - 올리브,Happier Label,가방,2,25000,0,25000,50000,0.2,10000,17000,23000,완료,29CM
ORD-2602-0551,2026-02-24,네이버,PRD-008,레터링 머그컵,Happier Label,리빙소품,1,16000,0,16000,16000,0.12,1920,5600,8480,완료,네이버검색
ORD-2602-0552,2026-02-14,네이버,PRD-007,접이식 우산,Happier Label,우산,1,28000,0,28000,28000,0.12,3360,11000,13640,완료,기타
ORD-2602-0553,2026-02-26,네이버,PRD-005,에코백 - 올리브,Happier Label,가방,1,25000,0,25000,25000,0.12,3000,8500,13500,완료,네이버검색
ORD-2602-0554,2026-02-03,자사몰,PRD-004,에코백 - 내추럴,Happier Label,가방,1,25000,0,25000,25000,0.035,875,8500,15625,완료,인스타그램
ORD-2603-0555,2026-03-10,네이버,PRD-001,미니 파우치 - 레몬,Happier Label,파우치,1,12000,0,12000,12000,0.12,1440,4200,6360,완료,추천
ORD-2602-0556,2026-02-20,카카오선물하기,PRD-003,스퀘어 파우치 - 크림,Happier Label,파우치,2,18000,0,18000,36000,0.3,10800,12600,12600,완료,카카오선물하기
ORD-2602-0557,2026-02-09,자사몰,PRD-019,먼슬리 플래너,PART PART,플래너,1,16000,0,16000,16000,0.035,560,5200,10240,완료,인스타그램
ORD-2602-0558,2026-02-22,텐바이텐,PRD-019,먼슬리 플래너,PART PART,플래너,3,16000,0,16000,48000,0.18,8640,15600,23760,취소,텐바이텐
ORD-2603-0559,2026-03-21,네이버,PRD-013,보조배터리 10000mAh,MNNS,전자소품,1,42000,0,42000,42000,0.12,5040,19000,17960,완료,쇼핑라이브
ORD-2601-0560,2026-01-07,네이버,PRD-015,폰케이스 - 패턴,MNNS,폰케이스,1,24000,0,24000,24000,0.12,2880,8000,13120,완료,네이버검색
ORD-2602-0561,2026-02-24,자사몰,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,2,14000,0,14000,28000,0.035,980,8400,18620,완료,인스타그램
ORD-2601-0562,2026-01-09,텐바이텐,PRD-001,미니 파우치 - 레몬,Happier Label,파우치,4,12000,0,12000,48000,0.18,8640,16800,22560,완료,텐바이텐
ORD-2601-0563,2026-01-05,자사몰,PRD-025,2026 다이어리 - 세이지,오롤리데이,다이어리,1,22000,0,22000,22000,0.035,770,7500,13730,완료,직접유입
ORD-2602-0564,2026-02-10,핫트랙스,PRD-020,스티커 세트 - 데일리,PART PART,스티커,1,5000,0,5000,5000,0.25,1250,1200,2550,완료,핫트랙스
ORD-2602-0565,2026-02-07,텐바이텐,PRD-017,데일리 노트 B5,PART PART,노트,2,11000,0,11000,22000,0.18,3960,6600,11440,완료,텐바이텐
ORD-2603-0566,2026-03-25,자사몰,PRD-011,마우스패드 - 그리드,MNNS,데스크소품,1,15000,0,15000,15000,0.035,525,4800,9675,완료,직접유입
ORD-2603-0567,2026-03-24,자사몰,PRD-013,보조배터리 10000mAh,MNNS,전자소품,1,42000,0,42000,42000,0.035,1470,19000,21530,완료,인스타그램
ORD-2601-0568,2026-01-22,자사몰,PRD-006,티슈커버 - 화이트,Happier Label,리빙소품,2,15000,0,15000,30000,0.035,1050,10400,18550,완료,블로그검색
ORD-2603-0569,2026-03-16,네이버,PRD-006,티슈커버 - 화이트,Happier Label,리빙소품,1,15000,0,15000,15000,0.12,1800,5200,8000,교환,네이버검색
ORD-2601-0570,2026-01-24,카카오선물하기,PRD-006,티슈커버 - 화이트,Happier Label,리빙소품,2,15000,0,15000,30000,0.3,9000,10400,10600,완료,카카오선물하기
ORD-2603-0571,2026-03-16,카카오선물하기,PRD-032,기프트박스 A (파우치+키링),오롤리데이,기프트세트,3,18000,0,18000,54000,0.3,16200,18000,19800,완료,카카오선물하기
ORD-2603-0572,2026-03-24,자사몰,PRD-035,해피어마트 한정 에코백,해피어마트,가방,1,29000,0,29000,29000,0.035,1015,10500,17485,완료,카카오채널
ORD-2601-0573,2026-01-18,네이버,PRD-024,2026 다이어리 - 크림,오롤리데이,다이어리,1,22000,0,22000,22000,0.12,2640,7500,11860,완료,네이버검색
ORD-2602-0574,2026-02-10,29CM,PRD-012,보조배터리 5000mAh,MNNS,전자소품,1,32000,0,32000,32000,0.2,6400,14500,11100,완료,29CM
ORD-2601-0575,2026-01-27,카카오선물하기,PRD-002,미니 파우치 - 라벤더,Happier Label,파우치,2,12000,0,12000,24000,0.3,7200,8400,8400,완료,카카오선물하기
ORD-2602-0576,2026-02-05,네이버,PRD-011,마우스패드 - 그리드,MNNS,데스크소품,1,15000,0,15000,15000,0.12,1800,4800,8400,완료,네이버검색
ORD-2602-0577,2026-02-09,네이버,PRD-021,스티커 세트 - 시즌,PART PART,스티커,3,5000,0,5000,15000,0.12,1800,3600,9600,완료,네이버검색
ORD-2602-0578,2026-02-12,자사몰,PRD-025,2026 다이어리 - 세이지,오롤리데이,다이어리,2,22000,0,22000,44000,0.035,1540,15000,27460,완료,인스타그램
ORD-2601-0579,2026-01-11,카카오선물하기,PRD-003,스퀘어 파우치 - 크림,Happier Label,파우치,1,18000,0,18000,18000,0.3,5400,6300,6300,완료,카카오선물하기
ORD-2601-0580,2026-01-24,29CM,PRD-018,위클리 플래너,PART PART,플래너,1,14000,700,13300,13300,0.2,2660,4500,6140,반품,29CM
ORD-2602-0581,2026-02-01,네이버,PRD-028,실내화 - 크림,오롤리데이,슬리퍼,1,19000,0,19000,19000,0.12,2280,7200,9520,완료,네이버검색
ORD-2602-0582,2026-02-15,네이버,PRD-003,스퀘어 파우치 - 크림,Happier Label,파우치,1,18000,0,18000,18000,0.12,2160,6300,9540,취소,추천
ORD-2601-0583,2026-01-21,카카오선물하기,PRD-006,티슈커버 - 화이트,Happier Label,리빙소품,1,15000,0,15000,15000,0.3,4500,5200,5300,교환,카카오선물하기
ORD-2603-0584,2026-03-22,카카오선물하기,PRD-008,레터링 머그컵,Happier Label,리빙소품,1,16000,0,16000,16000,0.3,4800,5600,5600,완료,카카오선물하기
ORD-2601-0585,2026-01-10,카카오선물하기,PRD-033,기프트박스 B (노트+스티커+펜),오롤리데이,기프트세트,1,22000,0,22000,22000,0.3,6600,7200,8200,완료,카카오선물하기
ORD-2601-0586,2026-01-10,네이버,PRD-029,실내화 - 그레이,오롤리데이,슬리퍼,1,19000,0,19000,19000,0.12,2280,7200,9520,완료,네이버검색
ORD-2601-0587,2026-01-23,텐바이텐,PRD-018,위클리 플래너,PART PART,플래너,1,14000,0,14000,14000,0.18,2520,4500,6980,완료,텐바이텐
ORD-2601-0588,2026-01-24,쇼피파이,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.05,1100,7200,13700,완료,쇼피파이
ORD-2601-0589,2026-01-20,텐바이텐,PRD-016,데일리 노트 A5,PART PART,노트,1,9000,0,9000,9000,0.18,1620,2700,4680,완료,텐바이텐
ORD-2602-0590,2026-02-17,카카오선물하기,PRD-032,기프트박스 A (파우치+키링),오롤리데이,기프트세트,1,18000,0,18000,18000,0.3,5400,6000,6600,완료,카카오선물하기
ORD-2603-0591,2026-03-01,자사몰,PRD-030,x 제주맥주 코스터 세트,콜라보,콜라보,1,12000,600,11400,11400,0.035,399,4800,6201,완료,블로그검색
ORD-2602-0592,2026-02-01,카카오선물하기,PRD-008,레터링 머그컵,Happier Label,리빙소품,1,16000,0,16000,16000,0.3,4800,5600,5600,완료,카카오선물하기
ORD-2602-0593,2026-02-04,29CM,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.2,4400,7200,10400,완료,29CM
ORD-2603-0594,2026-03-22,네이버,PRD-016,데일리 노트 A5,PART PART,노트,2,9000,0,9000,18000,0.12,2160,5400,10440,완료,추천
ORD-2602-0595,2026-02-11,카카오선물하기,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,3,14000,0,14000,42000,0.3,12600,12600,16800,완료,카카오선물하기
ORD-2602-0596,2026-02-18,카카오선물하기,PRD-006,티슈커버 - 화이트,Happier Label,리빙소품,1,15000,0,15000,15000,0.3,4500,5200,5300,완료,카카오선물하기
ORD-2601-0597,2026-01-05,네이버,PRD-001,미니 파우치 - 레몬,Happier Label,파우치,1,12000,0,12000,12000,0.12,1440,4200,6360,완료,쇼핑라이브
ORD-2601-0598,2026-01-04,텐바이텐,PRD-017,데일리 노트 B5,PART PART,노트,2,11000,0,11000,22000,0.18,3960,6600,11440,완료,텐바이텐
ORD-2602-0599,2026-02-08,네이버,PRD-027,코튼 러그 - M,오롤리데이,러그,4,52000,0,52000,208000,0.12,24960,84000,99040,완료,추천
ORD-2603-0600,2026-03-03,네이버,PRD-001,미니 파우치 - 레몬,Happier Label,파우치,2,12000,0,12000,24000,0.12,2880,8400,12720,완료,네이버검색
ORD-2603-0601,2026-03-10,29CM,PRD-005,에코백 - 올리브,Happier Label,가방,2,25000,3750,21250,42500,0.2,8500,17000,17000,완료,29CM
ORD-2602-0602,2026-02-23,텐바이텐,PRD-006,티슈커버 - 화이트,Happier Label,리빙소품,1,15000,0,15000,15000,0.18,2700,5200,7100,완료,텐바이텐
ORD-2601-0603,2026-01-15,핫트랙스,PRD-010,마우스패드 - 클라우드,MNNS,데스크소품,1,15000,0,15000,15000,0.25,3750,4800,6450,완료,핫트랙스
ORD-2601-0604,2026-01-07,네이버,PRD-007,접이식 우산,Happier Label,우산,1,28000,0,28000,28000,0.12,3360,11000,13640,완료,네이버검색
ORD-2601-0605,2026-01-04,자사몰,PRD-034,선물 포장 서비스,오롤리데이,서비스,1,3000,0,3000,3000,0.035,105,800,2095,완료,카카오채널
ORD-2602-0606,2026-02-06,자사몰,PRD-022,2026 벽걸이 캘린더,오롤리데이,캘린더,1,18000,900,17100,17100,0.035,598,5800,10702,완료,인스타그램
ORD-2602-0607,2026-02-06,29CM,PRD-024,2026 다이어리 - 크림,오롤리데이,다이어리,1,22000,0,22000,22000,0.2,4400,7500,10100,완료,29CM
ORD-2601-0608,2026-01-25,카카오선물하기,PRD-033,기프트박스 B (노트+스티커+펜),오롤리데이,기프트세트,1,22000,0,22000,22000,0.3,6600,7200,8200,완료,카카오선물하기
ORD-2601-0609,2026-01-26,핫트랙스,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,1,14000,0,14000,14000,0.25,3500,4200,6300,완료,핫트랙스
ORD-2602-0610,2026-02-08,자사몰,PRD-017,데일리 노트 B5,PART PART,노트,3,11000,0,11000,33000,0.035,1155,9900,21945,완료,카카오채널
ORD-2602-0611,2026-02-01,자사몰,PRD-008,레터링 머그컵,Happier Label,리빙소품,1,16000,0,16000,16000,0.035,560,5600,9840,완료,인스타그램
ORD-2601-0612,2026-01-27,29CM,PRD-004,에코백 - 내추럴,Happier Label,가방,1,25000,0,25000,25000,0.2,5000,8500,11500,완료,29CM
ORD-2601-0613,2026-01-20,자사몰,PRD-011,마우스패드 - 그리드,MNNS,데스크소품,5,15000,0,15000,75000,0.035,2625,24000,48375,완료,카카오채널
ORD-2602-0614,2026-02-26,네이버,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,1,14000,0,14000,14000,0.12,1680,4200,8120,완료,쇼핑라이브
ORD-2602-0615,2026-02-19,카카오선물하기,PRD-009,레터 키링 - A~Z,MNNS,키링,1,8000,0,8000,8000,0.3,2400,2400,3200,완료,카카오선물하기
ORD-2601-0616,2026-01-04,29CM,PRD-025,2026 다이어리 - 세이지,오롤리데이,다이어리,2,22000,0,22000,44000,0.2,8800,15000,20200,완료,29CM
ORD-2603-0617,2026-03-19,핫트랙스,PRD-009,레터 키링 - A~Z,MNNS,키링,2,8000,0,8000,16000,0.25,4000,4800,7200,완료,핫트랙스
ORD-2602-0618,2026-02-15,자사몰,PRD-021,스티커 세트 - 시즌,PART PART,스티커,1,5000,0,5000,5000,0.035,175,1200,3625,완료,직접유입
ORD-2603-0619,2026-03-03,카카오선물하기,PRD-033,기프트박스 B (노트+스티커+펜),오롤리데이,기프트세트,1,22000,0,22000,22000,0.3,6600,7200,8200,완료,카카오선물하기
ORD-2602-0620,2026-02-02,자사몰,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,1,14000,0,14000,14000,0.035,490,4200,9310,완료,직접유입
ORD-2602-0621,2026-02-13,네이버,PRD-018,위클리 플래너,PART PART,플래너,1,14000,0,14000,14000,0.12,1680,4500,7820,완료,추천
ORD-2601-0622,2026-01-14,자사몰,PRD-009,레터 키링 - A~Z,MNNS,키링,1,8000,400,7600,7600,0.035,266,2400,4934,완료,기타
ORD-2601-0623,2026-01-05,카카오선물하기,PRD-023,2026 탁상 캘린더,오롤리데이,캘린더,3,14000,0,14000,42000,0.3,12600,12600,16800,완료,카카오선물하기
ORD-2602-0624,2026-02-15,카카오선물하기,PRD-033,기프트박스 B (노트+스티커+펜),오롤리데이,기프트세트,2,22000,0,22000,44000,0.3,13200,14400,16400,완료,카카오선물하기
ORD-2601-0625,2026-01-16,텐바이텐,PRD-011,마우스패드 - 그리드,MNNS,데스크소품,2,15000,0,15000,30000,0.18,5400,9600,15000,완료,텐바이텐
ORD-2601-0626,2026-01-02,카카오선물하기,PRD-009,레터 키링 - A~Z,MNNS,키링,1,8000,0,8000,8000,0.3,2400,2400,3200,완료,카카오선물하기
ORD-2602-0627,2026-02-28,쇼피파이,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.05,1100,7200,13700,완료,쇼피파이
ORD-2602-0628,2026-02-24,카카오선물하기,PRD-002,미니 파우치 - 라벤더,Happier Label,파우치,2,12000,0,12000,24000,0.3,7200,8400,8400,완료,카카오선물하기
ORD-2603-0629,2026-03-18,29CM,PRD-019,먼슬리 플래너,PART PART,플래너,1,16000,0,16000,16000,0.2,3200,5200,7600,완료,29CM
ORD-2603-0630,2026-03-10,자사몰,PRD-003,스퀘어 파우치 - 크림,Happier Label,파우치,2,18000,0,18000,36000,0.035,1260,12600,22140,완료,블로그검색
ORD-2602-0631,2026-02-22,쇼피파이,PRD-014,폰케이스 - 클리어,MNNS,폰케이스,1,22000,0,22000,22000,0.05,1100,7200,13700,완료,쇼피파이
ORD-2601-0632,2026-01-05,카카오선물하기,PRD-008,레터링 머그컵,Happier Label,리빙소품,3,16000,0,16000,48000,0.3,14400,16800,16800,취소,카카오선물하기
